url_path,priority,suggested_title,suggested_meta_description,min_words,action
/,Alta,"ObraMétrica — Calculadoras para Construção Civil e Energia Solar","Ferramentas práticas para cálculo de materiais, energia solar, hidráulica e orçamento. Use calculadoras gratuitas e guias técnicos.","600","Enriquecer homepage com conteúdo editorial (600+), CTAs para ferramentas e byline"
/construcao-civil/quantificacao-telhas-pecas,Alta,"Quantificação e Corte de Telhas/Peças — ObraMétrica","Ferramenta para calcular quantidade e padrão de corte para telhas, pisos e revestimentos, reduzindo desperdício.","600","Criar landing article 600–800 palavras explicando método e exemplo"
/construcao-civil/andaimes-escoras,Alta,"Cálculo de Escoras & Andaimes — Quantidade de Materiais","Estime módulos, plataformas, diagonais e escoras para planejamento de locação/compra.","600","Adicionar landing article com dica de segurança e exemplos"
/construcao-civil/simulador-iluminacao-fachadas,Alta,"Simulador de Iluminação Natural & Sombras — Fachadas","Estimativa simplificada de ganhos/perdas de iluminação por orientação e faixa horária com recomendações de proteção solar.","600","Adicionar metodologia, exemplos e disclaimer"
/construcao-civil/estruturas-metalicas-basicas,Alta,"Cálculo de Estruturas Metálicas Básicas — Estimativas Rápidas","Estimador de perfis, aço e peso para vigas simples e pórticos — estimativas para fase conceitual.","700","Adicionar fórmulas, exemplo passo-a-passo e disclaimer"
/construcao-civil/conversor-unidades-tecnicas,Média,"Conversor de Unidades Técnicas Avançado — Massa, Densidade, Pressão","Conversor técnico com histórico e clipboard para unidades comuns na obra.","400","Adicionar exemplos de uso, FAQ e testes de conversão"
/construcao-civil/perda-atrio-tubulacoes,Alta,"Perda por Atrito em Tubulações — Darcy & Hazen‑Williams","Calcule perdas por atrito, número de Reynolds, fator de atrito e potência de bomba.","700","Adicionar passo-a-passo, presets e cálculo exemplo"
/energia-solar/calculadora-perdas-eficiencia,Alta,"Calculadora de Perdas / Eficiência (PV) — Estimativas Técnicas","Quantifique perdas: temperatura, sombreamento, mismatch, cabos e inversor; gere relatório técnico.","700","Adicionar metodologia detalhada e exemplo prático"
/energia-solar/calculadora-area-layout-paineis,Média,"Calculadora de Área & Layout de Painéis — PV","Dimensione área e arranjo de módulos para telhados e solo com preview 2D e sugestões de strings.","600","Adicionar exemplos de layout, espaçamento e CSV export"
/energia-solar/estimador-custo-total,Alta,"Estimador de Custo Total do Sistema (TCO) — PV","CAPEX, OPEX, substituições e payback simplificado para sistemas fotovoltaicos.","700","Adicionar BOM, presets de preço e exemplo de payback"
/energia-solar/incentivos-subsidios-regionais,Alta,"Incentivos & Subsídios Regionais para Energia Solar — Consulte por CEP","Base de incentivos por região com impacto estimado sobre CAPEX/OPEX e checklist de elegibilidade.","700","Popular DB com fontes, checklist de elegibilidade e integração com estimator"
/energia-solar/conversor-kw-kwh,Média,"Conversor kW ↔ kWh — Produção por Potência Instalada","Converta kWp em kWh usando fatores regionais e perdas sistêmicas; exemplos práticos.","500","Adicionar exemplos, presets e PR sensitivity sliders"
/energia-solar/tarifa-evitada,Média,"Calculadora de Tarifa Evitada — Economias com PV","Estime economia anual considerando perfil horário, tarifa e regras de compensação.","700","Adicionar exemplo horário e modo rápido; incluir presets fiscais"
/blog/como-calcular-kwp-kwh,Alta,"Como calcular kWp → kWh: Guia prático com exemplos","Aprenda a converter kWp em kWh com fórmulas, fatores regionais e exemplos práticos.","900","Publicar artigo completo (fornecido) e linkar para conversor e estimador"
/blog/guia-incentivos-energia-solar,Alta,"Guia de Incentivos Estaduais para Energia Solar (Atualizado)","Resumo de incentivos estaduais e municipais, como acessar e aplicar no seu projeto.","1000","Produzir guia longo com referências e exemplos práticos"
